zone,month,avg_temp_c,cooling_degree_days,heating_degree_days,humidity_pct,solar_exposure_index,heatwave_days
North,1,25,63,0,65,72,0
North,2,27,63,0,68,79,0
North,3,27,63,0,71,86,0
North,4,30,63,0,74,65,2
North,5,30,63,0,77,72,2
North,6,30,63,0,62,79,2
North,7,27,63,0,65,86,0
North,8,27,63,0,68,65,0
North,9,27,63,0,71,72,0
North,10,27,63,0,74,79,0
North,11,25,63,0,77,86,0
North,12,25,63,0,62,65,0
West,1,27,77,0,65,72,0
West,2,29,77,0,68,79,0
West,3,29,77,0,71,86,0
West,4,32,77,0,74,65,2
West,5,32,77,0,77,72,2
West,6,32,77,0,62,79,2
West,7,29,77,0,65,86,0
West,8,29,77,0,68,65,0
West,9,29,77,0,71,72,0
West,10,29,77,0,74,79,0
West,11,27,77,0,77,86,0
West,12,27,77,0,62,65,0
South,1,29,91,0,65,72,0
South,2,31,91,0,68,79,0
South,3,31,91,0,71,86,0
South,4,34,91,0,74,65,2
South,5,34,91,0,77,72,2
South,6,34,91,0,62,79,2
South,7,31,91,0,65,86,0
South,8,31,91,0,68,65,0
South,9,31,91,0,71,72,0
South,10,31,91,0,74,79,0
South,11,29,91,0,77,86,0
South,12,29,91,0,62,65,0
East,1,26,70,0,65,72,0
East,2,28,70,0,68,79,0
East,3,28,70,0,71,86,0
East,4,31,70,0,74,65,2
East,5,31,70,0,77,72,2
East,6,31,70,0,62,79,2
East,7,28,70,0,65,86,0
East,8,28,70,0,68,65,0
East,9,28,70,0,71,72,0
East,10,28,70,0,74,79,0
East,11,26,70,0,77,86,0
East,12,26,70,0,62,65,0
Central,1,28,84,0,65,72,0
Central,2,30,84,0,68,79,0
Central,3,30,84,0,71,86,0
Central,4,33,84,0,74,65,2
Central,5,33,84,0,77,72,2
Central,6,33,84,0,62,79,2
Central,7,30,84,0,65,86,0
Central,8,30,84,0,68,65,0
Central,9,30,84,0,71,72,0
Central,10,30,84,0,74,79,0
Central,11,28,84,0,77,86,0
Central,12,28,84,0,62,65,0
