bill_id,home_id,bill_month,kwh_used,bill_amount,peak_demand_kw,billing_days,tariff_band
B0001,H001,2025-10-01,584,4519,5.3,30,Residential-B
B0002,H001,2025-11-01,615,4753,5.4,30,Residential-B
B0003,H001,2025-12-01,635,4904,5.4,30,Residential-B
B0004,H001,2026-01-01,639,4934,5.5,30,Residential-B
B0005,H001,2026-02-01,667,5146,5.6,30,Residential-B
B0006,H001,2026-03-01,640,4942,5.5,30,Residential-B
B0007,H001,2026-04-01,606,4685,5.3,30,Residential-B
B0008,H001,2026-05-01,573,4436,5.2,30,Residential-B
B0009,H001,2026-06-01,509,3953,5.0,30,Residential-B
B0010,H001,2026-07-01,500,3885,4.9,30,Residential-B
B0011,H001,2026-08-01,508,3945,5.0,30,Residential-B
B0012,H001,2026-09-01,531,4119,5.1,30,Residential-B
B0013,H002,2025-10-01,647,5092,5.8,30,Residential-C
B0014,H002,2025-11-01,675,5308,5.9,30,Residential-C
B0015,H002,2025-12-01,689,5415,5.9,30,Residential-C
B0016,H002,2026-01-01,686,5392,5.9,30,Residential-C
B0017,H002,2026-02-01,707,5554,6.0,30,Residential-C
B0018,H002,2026-03-01,677,5323,5.9,30,Residential-C
B0019,H002,2026-04-01,642,5053,5.8,30,Residential-C
B0020,H002,2026-05-01,612,4822,5.7,30,Residential-C
B0021,H002,2026-06-01,553,4368,5.4,30,Residential-C
B0022,H002,2026-07-01,551,4353,5.4,30,Residential-C
B0023,H002,2026-08-01,566,4468,5.5,30,Residential-C
B0024,H002,2026-09-01,594,4684,5.6,30,Residential-C
B0025,H003,2025-10-01,665,5330,6.2,30,Residential-A
B0026,H003,2025-11-01,687,5503,6.2,30,Residential-A
B0027,H003,2025-12-01,695,5566,6.3,30,Residential-A
B0028,H003,2026-01-01,685,5487,6.2,30,Residential-A
B0029,H003,2026-02-01,701,5613,6.3,30,Residential-A
B0030,H003,2026-03-01,668,5354,6.2,30,Residential-A
B0031,H003,2026-04-01,634,5087,6.0,30,Residential-A
B0032,H003,2026-05-01,608,4883,5.9,30,Residential-A
B0033,H003,2026-06-01,555,4467,5.7,30,Residential-A
B0034,H003,2026-07-01,560,4506,5.8,30,Residential-A
B0035,H003,2026-08-01,581,4671,5.8,30,Residential-A
B0036,H003,2026-09-01,612,4914,6.0,30,Residential-A
B0037,H004,2025-10-01,725,5475,5.5,30,Residential-B
B0038,H004,2025-11-01,742,5601,5.5,30,Residential-B
B0039,H004,2025-12-01,743,5608,5.5,30,Residential-B
B0040,H004,2026-01-01,727,5490,5.5,30,Residential-B
B0041,H004,2026-02-01,738,5571,5.5,30,Residential-B
B0042,H004,2026-03-01,704,5320,5.4,30,Residential-B
B0043,H004,2026-04-01,672,5083,5.3,30,Residential-B
B0044,H004,2026-05-01,651,4927,5.2,30,Residential-B
B0045,H004,2026-06-01,605,4587,5.0,30,Residential-B
B0046,H004,2026-07-01,617,4676,5.1,30,Residential-B
B0047,H004,2026-08-01,642,4861,5.2,30,Residential-B
B0048,H004,2026-09-01,676,5112,5.3,30,Residential-B
B0049,H005,2025-10-01,609,4708,5.3,30,Residential-C
B0050,H005,2025-11-01,620,4791,5.4,30,Residential-C
B0051,H005,2025-12-01,614,4746,5.4,30,Residential-C
B0052,H005,2026-01-01,592,4580,5.3,30,Residential-C
B0053,H005,2026-02-01,600,4640,5.3,30,Residential-C
B0054,H005,2026-03-01,565,4376,5.2,30,Residential-C
B0055,H005,2026-04-01,537,4164,5.1,30,Residential-C
B0056,H005,2026-05-01,522,4051,5.0,30,Residential-C
B0057,H005,2026-06-01,483,3757,4.9,30,Residential-C
B0058,H005,2026-07-01,501,3893,4.9,30,Residential-C
B0059,H005,2026-08-01,530,4112,5.1,30,Residential-C
B0060,H005,2026-09-01,565,4376,5.2,30,Residential-C
B0061,H006,2025-10-01,620,4884,5.7,30,Residential-A
B0062,H006,2025-11-01,624,4915,5.7,30,Residential-A
B0063,H006,2025-12-01,612,4822,5.7,30,Residential-A
B0064,H006,2026-01-01,585,4614,5.6,30,Residential-A
B0065,H006,2026-02-01,591,4661,5.6,30,Residential-A
B0066,H006,2026-03-01,558,4407,5.5,30,Residential-A
B0067,H006,2026-04-01,534,4222,5.4,30,Residential-A
B0068,H006,2026-05-01,525,4152,5.3,30,Residential-A
B0069,H006,2026-06-01,493,3906,5.2,30,Residential-A
B0070,H006,2026-07-01,516,4083,5.3,30,Residential-A
B0071,H006,2026-08-01,549,4337,5.4,30,Residential-A
B0072,H006,2026-09-01,583,4599,5.6,30,Residential-A
B0073,H007,2025-10-01,674,5401,6.2,30,Residential-B
B0074,H007,2025-11-01,671,5377,6.2,30,Residential-B
B0075,H007,2025-12-01,652,5228,6.1,30,Residential-B
B0076,H007,2026-01-01,622,4993,6.0,30,Residential-B
B0077,H007,2026-02-01,627,5032,6.0,30,Residential-B
B0078,H007,2026-03-01,597,4796,5.9,30,Residential-B
B0079,H007,2026-04-01,578,4647,5.8,30,Residential-B
B0080,H007,2026-05-01,576,4632,5.8,30,Residential-B
B0081,H007,2026-06-01,551,4435,5.7,30,Residential-B
B0082,H007,2026-07-01,579,4655,5.8,30,Residential-B
B0083,H007,2026-08-01,613,4922,6.0,30,Residential-B
B0084,H007,2026-09-01,645,5173,6.1,30,Residential-B
B0085,H008,2025-10-01,725,5475,5.5,30,Residential-C
B0086,H008,2025-11-01,715,5401,5.4,30,Residential-C
B0087,H008,2025-12-01,691,5223,5.4,30,Residential-C
B0088,H008,2026-01-01,658,4979,5.2,30,Residential-C
B0089,H008,2026-02-01,664,5024,5.3,30,Residential-C
B0090,H008,2026-03-01,638,4831,5.2,30,Residential-C
B0091,H008,2026-04-01,625,4735,5.1,30,Residential-C
B0092,H008,2026-05-01,630,4772,5.1,30,Residential-C
B0093,H008,2026-06-01,611,4631,5.1,30,Residential-C
B0094,H008,2026-07-01,642,4861,5.2,30,Residential-C
B0095,H008,2026-08-01,677,5120,5.3,30,Residential-C
B0096,H008,2026-09-01,706,5334,5.4,30,Residential-C
B0097,H009,2025-10-01,728,5606,5.8,30,Residential-A
B0098,H009,2025-11-01,712,5486,5.7,30,Residential-A
B0099,H009,2025-12-01,683,5267,5.6,30,Residential-A
B0100,H009,2026-01-01,649,5010,5.5,30,Residential-A
B0101,H009,2026-02-01,657,5070,5.5,30,Residential-A
B0102,H009,2026-03-01,636,4912,5.4,30,Residential-A
B0103,H009,2026-04-01,630,4866,5.4,30,Residential-A
B0104,H009,2026-05-01,642,4957,5.5,30,Residential-A
B0105,H009,2026-06-01,627,4844,5.4,30,Residential-A
B0106,H009,2026-07-01,661,5101,5.5,30,Residential-A
B0107,H009,2026-08-01,695,5357,5.7,30,Residential-A
B0108,H009,2026-09-01,720,5546,5.8,30,Residential-A
